n,pos,citation,lemma,gender,infl_class,english,note,forms,lists
13,noun,en skola,skola,en,OR,school,,indef_sg=skola;def_sg=skolan;indef_pl=skolor;def_pl=skolorna,"Swedish first 50;Basic nouns"
14,noun,ett arbete,arbete,ett,N,work,"work, job",indef_sg=arbete;def_sg=arbetet;indef_pl=arbeten;def_pl=arbetena,"Swedish first 50;Basic nouns"
15,noun,en affär,affär,en,ER,shop,,indef_sg=affär;def_sg=affären;indef_pl=affärer;def_pl=affärerna,"Swedish first 50;Basic nouns"
16,noun,ett tåg,tåg,ett,ZERO,train,zero plural,indef_sg=tåg;def_sg=tåget;indef_pl=tåg;def_pl=tågen,"Swedish first 50;Basic nouns"
17,noun,ett flygplan,flygplan,ett,ZERO,aeroplane,zero plural,indef_sg=flygplan;def_sg=flygplanet;indef_pl=flygplan;def_pl=flygplanen,"Swedish first 50;Basic nouns"
18,noun,en gata,gata,en,OR,street,,indef_sg=gata;def_sg=gatan;indef_pl=gator;def_pl=gatorna,"Swedish first 50;Basic nouns"
19,noun,en sol,sol,en,AR,sun,,indef_sg=sol;def_sg=solen;indef_pl=solar;def_pl=solarna,"Swedish first 50;Basic nouns"
20,noun,en måne,måne,en,AR,moon,,indef_sg=måne;def_sg=månen;indef_pl=månar;def_pl=månarna,"Swedish first 50;Basic nouns"
21,verb,att komma,komma,,strong,come,,infinitive=komma;present=kommer;preteritum=kom;supine=kommit,"Swedish first 50;Basic verbs"
22,verb,att ge,ge,,strong,give,,infinitive=ge;present=ger;preteritum=gav;supine=gett,"Swedish first 50;Basic verbs"
23,verb,att ta,ta,,strong,take,,infinitive=ta;present=tar;preteritum=tog;supine=tagit,"Swedish first 50;Basic verbs"
24,verb,att se,se,,strong,see,,infinitive=se;present=ser;preteritum=såg;supine=sett,"Swedish first 50;Basic verbs"
25,verb,att höra,höra,,weak2a,hear,,infinitive=höra;present=hör;preteritum=hörde;supine=hört,"Swedish first 50;Basic verbs"
26,verb,att känna,känna,,weak2a,feel,"feel, know a person",infinitive=känna;present=känner;preteritum=kände;supine=känt,"Swedish first 50;Basic verbs"
27,verb,att tänka,tänka,,weak2b,think,,infinitive=tänka;present=tänker;preteritum=tänkte;supine=tänkt,"Swedish first 50;Basic verbs"
28,verb,att veta,veta,,irregular,know,know a fact,infinitive=veta;present=vet;preteritum=visste;supine=vetat,"Swedish first 50;Basic verbs"
29,verb,att förstå,förstå,,strong,understand,,infinitive=förstå;present=förstår;preteritum=förstod;supine=förstått,"Swedish first 50;Basic verbs"
30,verb,att fråga,fråga,,weak1,ask,,infinitive=fråga;present=frågar;preteritum=frågade;supine=frågat,"Swedish first 50;Basic verbs"
31,verb,att svara,svara,,weak1,answer,,infinitive=svara;present=svarar;preteritum=svarade;supine=svarat,"Swedish first 50;Basic verbs"
32,verb,att hjälpa,hjälpa,,weak2b,help,,infinitive=hjälpa;present=hjälper;preteritum=hjälpte;supine=hjälpt,"Swedish first 50;Basic verbs"
33,verb,att vänta,vänta,,weak1,wait,,infinitive=vänta;present=väntar;preteritum=väntade;supine=väntat,"Swedish first 50;Basic verbs"
34,verb,att resa,resa,,weak2b,travel,,infinitive=resa;present=reser;preteritum=reste;supine=rest,"Swedish first 50;Basic verbs"
35,verb,att köra,köra,,weak2a,drive,,infinitive=köra;present=kör;preteritum=körde;supine=kört,"Swedish first 50;Basic verbs"
36,verb,att flyga,flyga,,strong,fly,,infinitive=flyga;present=flyger;preteritum=flög;supine=flugit,"Swedish first 50;Basic verbs"
37,verb,att simma,simma,,weak1,swim,,infinitive=simma;present=simmar;preteritum=simmade;supine=simmat,"Swedish first 50;Basic verbs"
38,verb,att sjunga,sjunga,,strong,sing,,infinitive=sjunga;present=sjunger;preteritum=sjöng;supine=sjungit,"Swedish first 50;Basic verbs"
39,verb,att dansa,dansa,,weak1,dance,,infinitive=dansa;present=dansar;preteritum=dansade;supine=dansat,"Swedish first 50;Basic verbs"
40,verb,att skratta,skratta,,weak1,laugh,,infinitive=skratta;present=skrattar;preteritum=skrattade;supine=skrattat,"Swedish first 50;Basic verbs"
41,adj,lång,lång,,regular,long,"long, tall",utrum=lång;neutrum=långt;plural=långa,"Swedish first 50"
42,adj,kort,kort,,regular,short,,utrum=kort;neutrum=kort;plural=korta,"Swedish first 50"
43,adj,hög,hög,,regular,high,"high, tall",utrum=hög;neutrum=högt;plural=höga,"Swedish first 50"
44,adj,låg,låg,,regular,low,,utrum=låg;neutrum=lågt;plural=låga,"Swedish first 50"
45,adj,tung,tung,,regular,heavy,,utrum=tung;neutrum=tungt;plural=tunga,"Swedish first 50"
46,adj,lätt,lätt,,regular,light,"light (weight), easy",utrum=lätt;neutrum=lätt;plural=lätta,"Swedish first 50"
47,adj,stark,stark,,regular,strong,,utrum=stark;neutrum=starkt;plural=starka,"Swedish first 50"
48,adj,svag,svag,,regular,weak,,utrum=svag;neutrum=svagt;plural=svaga,"Swedish first 50"
49,adj,vacker,vacker,,irregular,beautiful,drops -e- in plural,utrum=vacker;neutrum=vackert;plural=vackra,"Swedish first 50"
50,adj,ful,ful,,regular,ugly,,utrum=ful;neutrum=fult;plural=fula,"Swedish first 50"
